Category number,E-number,Name,Maximum level (mg/l or mg/kg as appropriate),Footnotes,Restrictions/exceptions,Category name
08.3.4.2,E 251-252,Nitrates,250,"Maximum residual amount, residue level at the end of the production process, expressed as NaNO2 or NaNO3 ; Nitrates may be present in some heat-treated meat products resulting from natural conversion of nitrites to nitrates in a low-acid environment","only presunto, presunto da pa and paio do lombo and similar products: Dry cured for 10 to 15 days followed by a 30 to 45-day stabilisation period and a maturation period of at least 2 months","Traditional dry cured products. (Dry curing process involves dry application of curing mixture containing nitrites and/or nitrates, salt and other components to the surface of the meat followed by a period of stabilisation/maturation)"
08.3.4.2,E 251-252,Nitrates,250,"Maximum residual amount, residue level at the end of the production process, expressed as NaNO2 or NaNO3 ; Without added nitrites ; Nitrates may be present in some heat-treated meat products resulting from natural conversion of nitrites to nitrates in a low-acid environment","only jambon sec, jambon sel and other similar dried cured products: Dry cured for 3 days + 1 day/kg followed by a 1-week post-salting period and an ageing/ripening period of 45 days to 18 months","Traditional dry cured products. (Dry curing process involves dry application of curing mixture containing nitrites and/or nitrates, salt and other components to the surface of the meat followed by a period of stabilisation/maturation)"
08.3.4.2,E 249-250,Nitrites,50,"Maximum residual amount, residue level at the end of the production process, expressed as NaNO2 or NaNO3","only rohschinken, trockengepökelt and similar products: Curing time depending on the shape and weight of meat pieces for approximately 10 to 14 days followed by stabilisation/maturation","Traditional dry cured products. (Dry curing process involves dry application of curing mixture containing nitrites and/or nitrates, salt and other components to the surface of the meat followed by a period of stabilisation/maturation)"
08.3.4.2,E 251-252,Nitrates,250,"Maximum residual amount, residue level at the end of the production process, expressed as NaNO2 or NaNO3 ; Nitrates may be present in some heat-treated meat products resulting from natural conversion of nitrites to nitrates in a low-acid environment","only rohschinken, trockengepökelt and similar products: Curing time depending on the shape and weight of meat pieces for approximately 10 to 14 days followed by stabilisation/maturation","Traditional dry cured products. (Dry curing process involves dry application of curing mixture containing nitrites and/or nitrates, salt and other components to the surface of the meat followed by a period of stabilisation/maturation)"
08.3.4.3,E 249-250,Nitrites,50,"Maximum residual amount, residue level at the end of the production process, expressed as NaNO2 or NaNO3","only rohschinken, trocken-/nasgepökelt and similar products: Dry curing and immersion curing used in combination (without injection of curing solution). Curing time depending on the shape and weight of meat pieces for approximately 14 to 35 days followed by stabilisation/maturation",Other traditionally cured products. (Immersion and dry cured processes used in combination or where nitrite and/or nitrate is included in a compound product or where the curing solution is injected into the product prior to cooking)
08.3.4.3,E 251-252,Nitrates,250,"Maximum residual amount, residue level at the end of the production process, expressed as NaNO2 or NaNO3 ; Nitrates may be present in some heat-treated meat products resulting from natural conversion of nitrites to nitrates in a low-acid environment","only rohschinken, trocken-/nasgepökelt and similar products: Dry curing and immersion curing used in combination (without injection of curing solution). Curing time depending on the shape and weight of meat pieces for approximately 14 to 35 days followed by stabilisation/maturation",Other traditionally cured products. (Immersion and dry cured processes used in combination or where nitrite and/or nitrate is included in a compound product or where the curing solution is injected into the product prior to cooking)
08.3.4.3,E 249-250,Nitrites,50,"Maximum residual amount, residue level at the end of the production process, expressed as NaNO2 or NaNO3","only jellied veal and brisket
 : Injection of curing solution followed, after a minimum of 2 days, by cooking in boiling water for up to 3 hours",Other traditionally cured products. (Immersion and dry cured processes used in combination or where nitrite and/or nitrate is included in a compound product or where the curing solution is injected into the product prior to cooking)
08.3.4.3,E 251-252,Nitrates,10,"Maximum residual amount, residue level at the end of the production process, expressed as NaNO2 or NaNO3 ; Nitrates may be present in some heat-treated meat products resulting from natural conversion of nitrites to nitrates in a low-acid environment","only jellied veal and brisket
 : Injection of curing solution followed, after a minimum of 2 days, by cooking in boiling water for up to 3 hours",Other traditionally cured products. (Immersion and dry cured processes used in combination or where nitrite and/or nitrate is included in a compound product or where the curing solution is injected into the product prior to cooking)
08.3.4.3,E 251-252,Nitrates,300,"Without added nitrites ; Maximum amount that may be added during the manufacturing, expressed as NaNO2 or NaNO3","only rohwürste (salami and kantwurst)
 : Product has a minimum 4-week maturation period and a water/protein ratio of less than 1,7",Other traditionally cured products. (Immersion and dry cured processes used in combination or where nitrite and/or nitrate is included in a compound product or where the curing solution is injected into the product prior to cooking)
08.3.4.3,E 251-252,Nitrates,250,"Without added nitrites ; Maximum amount that may be added during the manufacturing, expressed as NaNO2 or NaNO3 ; Nitrates may be present in some heat-treated meat products resulting from natural conversion of nitrites to nitrates in a low-acid environment",only Salchichon y chorizo traducionales de larga curacion and similar products: Maturation period of at least 30 days,Other traditionally cured products. (Immersion and dry cured processes used in combination or where nitrite and/or nitrate is included in a compound product or where the curing solution is injected into the product prior to cooking)
08.3.4.3,E 249-250,Nitrites,180,"Maximum amount that may be added during the manufacturing, expressed as NaNO2 or NaNO3","only vysočina, selský salám, turistický trvanlivý salám, poličan, herkules, lovecký salám, dunjaská klobása, paprikás and similar products: Dried product cooked to 70 °C followed by 8 to 12-day drying and smoking process. Fermented product subject to 14 to 30-day three-stage fermentation process followed by smoking",Other traditionally cured products. (Immersion and dry cured processes used in combination or where nitrite and/or nitrate is included in a compound product or where the curing solution is injected into the product prior to cooking)
08.3.4.3,E 251-252,Nitrates,250,"Without added nitrites ; Maximum amount that may be added during the manufacturing, expressed as NaNO2 or NaNO3 ; Nitrates may be present in some heat-treated meat products resulting from natural conversion of nitrites to nitrates in a low-acid environment","only saucissons sec and similar products
 : raw fermented dried sausage without added nitrites. Product is fermented at temperatures in the range of 18 to 22 °C or lower (10 to 12 °C) and then has a minimum ageing/ripening period of 3 weeks. Product has a water/protein ratio of less than 1,7",Other traditionally cured products. (Immersion and dry cured processes used in combination or where nitrite and/or nitrate is included in a compound product or where the curing solution is injected into the product prior to cooking)
09.1.1,Group IV,Polyols,quantum satis,,only frozen and deep-frozen unprocessed fish for purposes other than sweetening,Unprocessed fish
09.1.1,E 300,Ascorbic acid,quantum satis,,,Unprocessed fish
09.1.1,E 301,Sodium ascorbate,quantum satis,,,Unprocessed fish
09.1.1,E 302,Calcium ascorbate,quantum satis,,,Unprocessed fish
09.1.1,E 315,Erythorbic acid,1 500,"E 315 and E 316 are authorised individually or in combination, maximum limit is expressed as erythorbic acid",only frozen and deep-frozen fish with red skin,Unprocessed fish
09.1.1,E 316,Sodium erythorbate,1 500,"E 315 and E 316 are authorised individually or in combination, maximum limit is expressed as erythorbic acid",only frozen and deep-frozen fish with red skin,Unprocessed fish
09.1.1,E 330,Citric acid,quantum satis,,,Unprocessed fish
09.1.1,E 331,Sodium citrates,quantum satis,,,Unprocessed fish
09.1.1,E 332,Potassium citrates,quantum satis,,,Unprocessed fish
09.1.1,E 333,Calcium citrates,quantum satis,,,Unprocessed fish
09.1.1,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",5 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only frozen and deep-frozen fish fillets,Unprocessed fish
09.1.2,Group IV,Polyols,quantum satis,,"only frozen and deep-frozen unprocessed crustaceans, molluscs and cephalopods; for purposes other than sweetening",Unprocessed molluscs and crustaceans
09.1.2,E 220-228,Sulphur dioxide - sulphites,150,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present ; Maximum limits in edible parts","only fresh, frozen and deep-frozen crustaceans and cephalopods; crustaceans of the Penaeidae, Solenoceridae and Aristaeidae family up to 80 units per kg",Unprocessed molluscs and crustaceans
09.1.2,E 220-228,Sulphur dioxide - sulphites,200,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present ; Maximum limits in edible parts","only crustaceans of the Penaeidae, Solenoceridae and Aristaeidae family between 80 and 120 units per kg",Unprocessed molluscs and crustaceans
09.1.2,E 220-228,Sulphur dioxide - sulphites,300,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present ; Maximum limits in edible parts","only crustaceans of the Penaeidae, Solenoceridae and Aristaeidae family over 120 units per kg",Unprocessed molluscs and crustaceans
09.1.2,E 300,Ascorbic acid,quantum satis,,,Unprocessed molluscs and crustaceans
09.1.2,E 301,Sodium ascorbate,quantum satis,,,Unprocessed molluscs and crustaceans
09.1.2,E 302,Calcium ascorbate,quantum satis,,,Unprocessed molluscs and crustaceans
09.1.2,E 330,Citric acid,quantum satis,,,Unprocessed molluscs and crustaceans
09.1.2,E 331,Sodium citrates,quantum satis,,,Unprocessed molluscs and crustaceans
09.1.2,E 332,Potassium citrates,quantum satis,,,Unprocessed molluscs and crustaceans
09.1.2,E 333,Calcium citrates,quantum satis,,,Unprocessed molluscs and crustaceans
09.1.2,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",5 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only frozen and deep-frozen molluscs and crustaceans,Unprocessed molluscs and crustaceans
09.1.2,E 385,Calcium disodium ethylene diamine tetra-acetate (Calcium disodium EDTA),(75),,only frozen and deep-frozen crustaceans,Unprocessed molluscs and crustaceans
09.1.2,E 586,4-Hexylresorcinol,2,As a residue in the meat,"Only fresh, frozen or deep-frozen crustaceans",Unprocessed molluscs and crustaceans
09.2,Group I,Additives,,,,Processed fish and fishery products including mollusks and crustaceans
09.2,Group II,Colours at quantum satis,quantum satis,,only surimi and similar products and salmon substitutes,Processed fish and fishery products including mollusks and crustaceans
09.2,Group III,Colours with combined maximum limit,500,Maximum limit for aluminium coming from aluminium lakes of ,only surimi and similar products and salmon substitutes,Processed fish and fishery products including mollusks and crustaceans
09.2,E 100,Curcumin,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 142, E 151, E 160e, E 161b",only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 101,Riboflavins,quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 102,Tartrazine,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 142, E 151, E 160e, E 161b",only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 110,Sunset Yellow FCF/Orange Yellow S,200,"The total quantity of E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",only in salmon substitutes based on Theragra chalcogramma and Pollachius virens,Processed fish and fishery products including mollusks and crustaceans
09.2,"
                           
                         E 120","Carminic acid, Carmine ",100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 142, E 151, E 160e, E 161b ; Maximum limit for aluminium coming from aluminium lakes of ",only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 122,"Azorubine, Carmoisine",100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 142, E 151, E 160e, E 161b",only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 124,"Ponceau 4R, Cochineal Red A",200,"The total quantity of E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",only in salmon substitutes based on Theragra chalcogramma and Pollachius virens,Processed fish and fishery products including mollusks and crustaceans
09.2,E 140,"Chlorophylls, Chlorophyllins",quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 141,Copper complexes of chlorophylls and chlorophyllins,quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 142,Green S,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 142, E 151, E 160e, E 161b",only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 150a-d,Caramels,quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 151,Brilliant Black PN,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 142, E 151, E 160e, E 161b",only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 153,Vegetable carbon,quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160a,Carotenes,quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160c,"Paprika extract, capsanthin, capsorubin",quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160e,Beta-apo-8′-carotenal (C 30),100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 142, E 151, E 160e, E 161b",only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 161b,Lutein,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 142, E 151, E 160e, E 161b",only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 162,"Beetroot Red, betanin",quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 163,Anthocyanins,quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 170,Calcium carbonate,quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 171,Titanium dioxide,quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 172,Iron oxides and hydroxides,quantum satis,,only fish paste and crustacean paste,Processed fish and fishery products including mollusks and crustaceans
09.2,E 100,Curcumin,250,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 129, E 142, E 151, E 160e, E 161b",only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 101,Riboflavins,quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 102,Tartrazine,250,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 129, E 142, E 151, E 160e, E 161b",only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,"
                           
                         E 120","Carminic acid, Carmine ",250,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 129, E 142, E 151, E 160e, E 161b",only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 122,"Azorubine, Carmoisine",250,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 129, E 142, E 151, E 160e, E 161b",only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 129,Allura Red AG,250,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 129, E 142, E 151, E 160e, E 161b",only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 140,"Chlorophylls, Chlorophyllins",quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 141,Copper complexes of chlorophylls and chlorophyllins,quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 142,Green S,250,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 129, E 142, E 151, E 160e, E 161b",only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 150a-d,Caramels,quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 151,Brilliant Black PN,250,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 129, E 142, E 151, E 160e, E 161b",only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 153,Vegetable carbon,quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 155,Brown HT,quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160a,Carotenes,quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160c,"Paprika extract, capsanthin, capsorubin",quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160e,Beta-apo-8′-carotenal (C 30),250,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 129, E 142, E 151, E 160e, E 161b",only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 161b,Lutein,250,"Maximum individually or for the combination of E 100, E 102, E 120, E 122, E 129, E 142, E 151, E 160e, E 161b",only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 162,"Beetroot Red, betanin",quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 163,Anthocyanins,quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 171,Titanium dioxide,quantum satis,,only precooked crustacean,Processed fish and fishery products including mollusks and crustaceans
09.2,E 100,Curcumin,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 151, E 160e",only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 101,Riboflavins,quantum satis,,only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 102,Tartrazine,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 151, E 160e",only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,"
                           
                         E 120","Carminic acid, Carmine ",100,"Maximum individually or for the combination of E 100, E 102, E 120, E 151, E 160e",only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 141,Copper complexes of chlorophylls and chlorophyllins,quantum satis,,only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 151,Brilliant Black PN,100,"Maximum individually or for the combination of E 100, E 102, E 120, E 151, E 160e",only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 153,Vegetable carbon,quantum satis,,only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160a,Carotenes,quantum satis,,only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160b,"Annatto, Bixin, Norbixin",10,,only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160c,"Paprika extract, capsanthin, capsorubin",quantum satis,,only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160e,Beta-apo-8′-carotenal (C 30),100,"Maximum individually or for the combination of E 100, E 102, E 120, E 151, E 160e",only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 171,Titanium dioxide,quantum satis,,Only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 172,Iron oxides and hydroxides,quantum satis,,Only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 163,Anthocyanins,quantum satis,"Maximum individually or for the combination of E 100, E 102, E 120, E 151, E 160e",only smoked fish,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160d,Lycopene,10,,only salmon substitute,Processed fish and fishery products including mollusks and crustaceans
09.2,E 160d,Lycopene,30,,"only fish and crustacean paste, pre-cooked crustaceans, surimi, smoked fish",Processed fish and fishery products including mollusks and crustaceans
09.2,E 200-202,Sorbic acid - potassium sorbate,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,aspic,Processed fish and fishery products including mollusks and crustaceans
09.2,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only salted, dried fish",Processed fish and fishery products including mollusks and crustaceans
09.2,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,2 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only semi-preserved fish and fisheries products including crustaceans, molluscs, surimi and fish/crustacean paste; cooked crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,6 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only cooked Crangon crangon and Crangon vulgaris,Processed fish and fishery products including mollusks and crustaceans
09.2,E 210-213,Benzoic acid - benzoates,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only cooked crustaceans and molluscs,Processed fish and fishery products including mollusks and crustaceans
09.2,E 210-213,Benzoic acid - benzoates,1 500,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only cooked shrimps in brine,Processed fish and fishery products including mollusks and crustaceans
09.2,E 220-228,Sulphur dioxide - sulphites,50,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present ; Maximum limits in edible parts",only cooked crustaceans and cephalopods,Processed fish and fishery products including mollusks and crustaceans
09.2,E 220-228,Sulphur dioxide - sulphites,135,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present ; Maximum limits in edible parts","only cooked crustaceans of the Penaeidae, Solenoceridae and Aristaeidae family up to 80 units per kg",Processed fish and fishery products including mollusks and crustaceans
09.2,E 220-228,Sulphur dioxide - sulphites,180,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present ; Maximum limits in edible parts","only cooked crustaceans of the Penaeidae, Solenoceridae and Aristaeidae family between 80 and 120 units per kg",Processed fish and fishery products including mollusks and crustaceans
09.2,E 220-228,Sulphur dioxide - sulphites,200,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only dried salted fish of the ‘Gadidae’ species,Processed fish and fishery products including mollusks and crustaceans
09.2,E 220-228,Sulphur dioxide - sulphites,270,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present ; Maximum limits in edible parts","only cooked crustaceans of the Penaeidae, Solenoceridae and Aristaeidae family over 120 units per kg",Processed fish and fishery products including mollusks and crustaceans
09.2,E 251-252,Nitrates,500,,only pickled herring and sprat,Processed fish and fishery products including mollusks and crustaceans
09.2,E 315,Erythorbic acid,1 500,"E 315 and E 316 are authorised individually or in combination, maximum limit is expressed as erythorbic acid",only preserved and semi-preserved fish products,Processed fish and fishery products including mollusks and crustaceans
09.2,E 316,Sodium erythorbate,1 500,"E 315 and E 316 are authorised individually or in combination, maximum limit is expressed as erythorbic acid",only preserved and semi-preserved fish products,Processed fish and fishery products including mollusks and crustaceans
09.2,E 392,Extracts of rosemary,15,As the sum of carnosol and carnosic acid,only fish and fishery products including molluscs and crustaceans with a fat content not higher than 10 %,Processed fish and fishery products including mollusks and crustaceans
09.2,E 392,Extracts of rosemary,150,Expressed on fat basis ; As the sum of carnosol and carnosic acid,only fish and fishery products including molluscs and crustaceans with a fat content higher than 10 %,Processed fish and fishery products including mollusks and crustaceans
09.2,E 450,Diphosphates,5 000,"The maximum level is expressed as P2O5, The maximum level applies to the sum of E 450, E 451 and E 452 used individually or in a combination","only salted fish of the Gadidae family that have been pre-salted by injecting and/or brine salting with an at least 18 % salt solution and often followed by dry salting
 Period of application:
 from 31 December 2013",Processed fish and fishery products including mollusks and crustaceans
09.2,E 451,Triphosphates,5 000,"The maximum level is expressed as P2O5, The maximum level applies to the sum of E 450, E 451 and E 452 used individually or in a combination","only salted fish of the Gadidae family that have been pre-salted by injecting and/or brine salting with an at least 18 % salt solution and often followed by dry salting
 Period of application:
 from 31 December 2013",Processed fish and fishery products including mollusks and crustaceans
09.2,E 452,Polyphosphates,5 000,"The maximum level is expressed as P2O5, The maximum level applies to the sum of E 450, E 451 and E 452 used individually or in a combination","only salted fish of the Gadidae family that have been pre-salted by injecting and/or brine salting with an at least 18 % salt solution and often followed by dry salting
 Period of application:
 from 31 December 2013",Processed fish and fishery products including mollusks and crustaceans
09.2,E 950,Acesulfame K,200,,"only sweet-sour preserves and semi-preserves of fish and marinades of fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 951,Aspartame,300,,"only sweet-sour preserves and semi-preserves of fish and marinades of fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 954,"Saccharin and its Na, K and Ca salts",160,,"only sweet-sour preserves and semi-preserves of fish and marinades of fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 955,Sucralose,120,,"only sweet-sour preserves and semi-preserves of fish and marinades of fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 959,Neohesperidine DC,30,,"only sweet-sour preserves and semi-preserves of fish and marinades of fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 960,Steviol glycosides,200,Expressed as steviol equivalents,"only sweet-sour preserves and semi preserves of fish and marinades of fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 961,Neotame,10,,"only sweet-sour preserves and semi-preserves of fish and marinades of fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 962,Salt of aspartame-acesulfame,200,Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent,"only sweet-sour preserves and semi-preserves of fish and marinades of fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 969,Advantame,3,,"only sweet-sour preserves and semi preserves of fish and marinades of fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.2,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only canned crustaceans products; surimi and similar products,Processed fish and fishery products including mollusks and crustaceans
09.2,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",5 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only fish and crustacean paste and in processed frozen and deep-frozen molluscs and crustaceans,Processed fish and fishery products including mollusks and crustaceans
09.2,E 385,Calcium disodium ethylene diamine tetra-acetate (Calcium disodium EDTA),75,,"only canned and bottled fish, crustaceans and molluscs",Processed fish and fishery products including mollusks and crustaceans
09.3,Group I,Additives,,,only processed fish roe,Fish roe
09.3,Group II,Colours at quantum satis,quantum satis,,except Sturgeons’ eggs (Caviar),Fish roe
09.3,Group III,Colours with combined maximum limit,300,Maximum limit for aluminium coming from aluminium lakes of ,except Sturgeons' eggs (Caviar),Fish roe
09.3,E 104,Quinoline Yellow,200,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",except Sturgeons’ eggs (Caviar),Fish roe
09.3,E 110,Sunset Yellow FCF/Orange Yellow S,200,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",except Sturgeons’ eggs (Caviar),Fish roe
09.3,E 123,Amaranth,30,,"except Sturgeons' eggs (Caviar)
 Period of application:
 until 31 July 2014",Fish roe
09.3,E 123,Amaranth,30,"Maximum limit for aluminium coming from aluminium lakes of E 123 amaranth 10 mg/kg. No other aluminium lakes may be used. For the purposes of Article 22(1)(g): of this Regulation, that limit shall apply from 1 February 2013","except Sturgeons' eggs (Caviar)
 Period of application:
 from 1 August 2014",Fish roe
09.3,E 124,"Ponceau 4R, Cochineal Red A",200,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",except Sturgeons’ eggs (Caviar),Fish roe
09.3,E 160d,Lycopene,30,,except Sturgeons’ eggs (Caviar),Fish roe
09.3,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,2 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only semi-preserved fish products including fish roe products,Fish roe
09.3,E 284,Boric acid,4 000,Expressed as boric acid,only Sturgeons’ eggs (Caviar),Fish roe
09.3,E 285,Sodium tetraborate (borax),4 000,Expressed as boric acid,only Sturgeons’ eggs (Caviar),Fish roe
09.3,E 315,Erythorbic acid,1 500,"E 315 and E 316 are authorised individually or in combination, maximum limit is expressed as erythorbic acid",only preserved and semi-preserved fish products,Fish roe
09.3,E 316,Sodium erythorbate,1 500,"E 315 and E 316 are authorised individually or in combination, maximum limit is expressed as erythorbic acid",only preserved and semi-preserved fish products,Fish roe
10.2,Group I,Additives,,,,Processed eggs and egg products
