Authorised novel food,Conditions under which the novel food may be used,Conditions under which the novel food may be used,Additional specific labelling requirements,Other requirements,Data Protection,footnote
Refined shrimp peptide concentrate,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘refined shrimp peptide concentrate’.,,"Authorised on 20 November 2018. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: Marealis AS., Stortorget 1, Kystens Hus, 2nd floor, N-9008 Tromsø Postal address: P.O. Box 1065, 9261 Tromsø, Norway. During the period of data protection the novel food refined shrimp peptideconcentrate is authorised for placing on the market within the Union only by Marealis AS unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of Marealis AS.
End date of the data protection: 20 November 2023.",
Refined shrimp peptide concentrate,Food Supplements as defined in Directive 2002/46/EC for the adult population,1 200 mg/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘refined shrimp peptide concentrate’.,,"Authorised on 20 November 2018. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: Marealis AS., Stortorget 1, Kystens Hus, 2nd floor, N-9008 Tromsø Postal address: P.O. Box 1065, 9261 Tromsø, Norway. During the period of data protection the novel food refined shrimp peptideconcentrate is authorised for placing on the market within the Union only by Marealis AS unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of Marealis AS.
End date of the data protection: 20 November 2023.",
Trans-resveratrol,Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the food supplements containing it shall be ‘Trans-resveratrol’.
2.
The labelling of food supplements containing trans-resveratrol shall bear a statement that people using medicines should only consume the product under medical supervision.",,,
Trans-resveratrol,Food Supplements as defined in Directive 2002/46/EC for adult population (capsule or tablet form),150 mg/day,"1.
The designation of the novel food on the labelling of the food supplements containing it shall be ‘Trans-resveratrol’.
2.
The labelling of food supplements containing trans-resveratrol shall bear a statement that people using medicines should only consume the product under medical supervision.",,,
Trans-resveratrol (microbial source),Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the food supplements containing it shall be ‘Trans-resveratrol’.
2.
The labelling of food supplements containing trans-resveratrol shall bear a statement that people using medicines should only consume the product under medical supervision.",,,
Trans-resveratrol (microbial source),Food supplements as defined in Directive 2002/46/EC,In line with normal use in food supplements of resveratrol extracted from Japanese knotweed (Fallopia japonica),"1.
The designation of the novel food on the labelling of the food supplements containing it shall be ‘Trans-resveratrol’.
2.
The labelling of food supplements containing trans-resveratrol shall bear a statement that people using medicines should only consume the product under medical supervision.",,,
Rooster comb extract,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Rooster comb extract’ or ‘Cockerel comb extract’,,,
Rooster comb extract,Milk-based drinks,40 mg/100 g or mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Rooster comb extract’ or ‘Cockerel comb extract’,,,
Rooster comb extract,Milk based fermented drinks,80 mg/100 g or mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Rooster comb extract’ or ‘Cockerel comb extract’,,,
Rooster comb extract,Yoghurt-type products,65 mg/100 g or mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Rooster comb extract’ or ‘Cockerel comb extract’,,,
Rooster comb extract,Fromage frais,110 mg/100 g or mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Rooster comb extract’ or ‘Cockerel comb extract’,,,
Sacha inchi oil from Plukenetia volubilis,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Sacha inchi oil (Plukenetia volubilis)’,,,
Sacha inchi oil from Plukenetia volubilis,As for linseed oil,In line with normal food use of linseed oil,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Sacha inchi oil (Plukenetia volubilis)’,,,
Salatrims,Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘reduced energy fat (salatrims)’.
2.
There shall be a statement that excessive consumption may lead to gastro-intestinal disturbance.
3.
There shall be a statement that the products are not intended for use by children.",,,
Salatrims,Bakery products and confectionary,,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘reduced energy fat (salatrims)’.
2.
There shall be a statement that excessive consumption may lead to gastro-intestinal disturbance.
3.
There shall be a statement that the products are not intended for use by children.",,,
Schizochytrium sp. oil rich in DHA and EPA,Specified food category,Maximum levels of DHA and EPA combined:,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Food Supplements as defined in Directive 2002/46/EC for adult population excluding pregnant and lactating women,3 000 mg/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Food Supplements as defined in Directive 2002/46/EC for pregnant and lactating women,450 mg/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,250 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Milk-based drinks and similar products intended for young children,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Processed cereal based food and baby food for infants and young children as defined in Regulation (EU) No 609/2013,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,"Foods intended to meet the expenditure of intense muscular effort, especially for sportsmen",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Foods bearing statements on the absence or reduced presence of gluten in accordance with the requirements of Commission Implementing Regulation (EU) No 828/2014,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,"Bakery Products (Breads, Rolls and Sweet Biscuits)",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Breakfast Cereals,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Cooking Fats,360 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Dairy Analogues except drinks,600 mg/100 g for cheese; 200 mg/100 g for soy and imitation milk products (excluding drinks),The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Dairy Products except milk-based drinks,"600 mg/100 g for cheese; 200 mg/100 g for milk products (including milk, fromage frais and yoghurt products; excluding drinks)",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Non-alcoholic Beverages (including dairy analogue and milk-based drinks),80 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Cereal/Nutrition Bars,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil rich in DHA and EPA,Spreadable Fats and Dressings,600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘DHA and EPA-rich oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Specified food category,Maximum levels of DHA,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Dairy products except milk-based drinks,200 mg/100 g or for cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Dairy analogues except drinks,200 mg/100 g or for analogues to cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Spreadable fats and dressings,600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Breakfast cereals,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Food Supplements as defined in Directive 2002/46/EC,250 mg DHA/day for general population,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Food Supplements as defined in Directive 2002/46/EC,450 mg DHA/day for pregnant and lactating women,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,250 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Milk-based drinks and similar products intended for young children,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,"Foods intended to meet the expenditure of intense muscular effort, especially for sportsmen",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Foods bearing statements on the absence or reduced presence of gluten in accordance with the requirements of Commission Implementing Regulation (EU) No 828/2014,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,"Bakery products (breads, rolls, and sweet biscuits)",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Cereal bars,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Cooking fats,360 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Non-alcoholic beverages (including dairy analogue and milk-based drinks),80 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Infant formula and follow-on formula as defined in Regulation (EU) No 609/2013,In accordance with Regulation (EU) No 609/2013,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Processed cereal-based foods and baby foods for infants and young children as defined in Regulation (EU) No 609/2013,200 mg/100 g,,,,
Schizochytrium sp. (ATCC PTA-9695) oil,Fruit/vegetable puree,100 mg/100 g,,,,
Schizochytrium sp. oil,Specified food category,Maximum levels of DHA,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Dairy products except milk-based drinks,200 mg/100 g or for cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Dairy analogues except drinks,200 mg/100 g or for analogues to cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Spreadable fat and dressings,600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Breakfast cereals,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Food Supplements as defined in Directive 2002/46/EC,250 mg DHA/day for general population,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Food Supplements as defined in Directive 2002/46/EC,450 mg DHA/day for pregnant and lactating women,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,250 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Milk-based drinks and similar products intended for young children,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Processed cereal-based foods and baby foods for infants and young children as defined in Regulation (EU) No 609/2013,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,"Foods intended to meet the expenditure of intense muscular effort, especially for sportsmen",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Foods bearing statements on the absence or reduced presence of gluten in accordance with the requirements of Implementing Regulation (EU) No 828/2014,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,"Bakery products (breads, rolls, and, sweet biscuits)",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Cereal bars,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Cooking fats,360 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Non-alcoholic beverages (including dairy analogue and milk-based drinks),80 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. oil,Fruit/vegetable puree,100 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Specified food category,Maximum levels of DHA,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Dairy products except milk-based drinks,200 mg/100 g or for cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Dairy analogues except drinks,200 mg/100 g or for analogues to cheese products 600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Spreadable fats and dressings,600 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Breakfast cereals,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Food Supplements as defined in Directive 2002/46/EC,250 mg DHA/day for general population,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Food Supplements as defined in Directive 2002/46/EC,450 mg DHA/day for pregnant and lactating women,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,250 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Milk-based drinks and similar products intended for young children,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,"Foods intended to meet the expenditure of intense muscular effort, especially for sportsmen",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Foods bearing statements on the absence or reduced presence of gluten in accordance with the requirements of Commission Implementing Regulation (EU) No 828/2014,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,"Bakery products (breads, rolls and, sweet biscuits)",200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Cereal bars,500 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Cooking fats,360 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Non-alcoholic beverages (including dairy analogue and milk-based drinks),80 mg/100 ml,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Infant formula and follow-on formula as defined in Regulation (EU) No 609/2013,In accordance with Regulation (EU) No 609/2013,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Schizochytrium sp. (T18) oil,Processed cereal-based foods and baby foods for infants and young children as defined in Regulation (EU) No 609/2013,200 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Oil from the microalgae Schizochytrium sp.’,,,
Syrup from Sorghum bicolor (L.) Moench (Traditional food from a third country),Not specified,Not specified,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Sorghum (Sorghum bicolor) syrup’,,,
Syrup from Sorghum bicolor (L.) Moench. (Traditional food from a third country),"Description/Definition
The traditional food is syrup from Sorghum bicolor (L.) Moench (genus, Sorghum; family, Poaceae (alt. Gramineae)).
The syrup is obtained from stalks of S. bicolor, after applying production processes such as crushing, extraction, and evaporation including a heat treatment in order to obtain a minimum of 74 °Brix syrup
Compositional data of syrup from Sorghum bicolor (L.) Moench
Water: 22,7 g/100 g
Ash: 2,4
Sugars, total: > 74,0 g/100 g","Description/Definition; ; The traditional food is syrup from Sorghum bicolor (L.) Moench (genus, Sorghum; family, Poaceae (alt. Gramineae)).; The syrup is obtained from stalks of S. bicolor, after applying production processes such as crushing, extraction, and evaporation including a heat treatment in order to obtain a minimum of 74 °Brix syrup; ; Compositional data of syrup from Sorghum bicolor (L.) Moench; ; Water: 22,7 g/100 g; Ash: 2,4; Sugars, total: > 74,0 g/100 g",,,,
Fermented soybean extract,Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Fermented soybean extract’.
2.
The labelling of food supplements containing fermented soybean extract shall bear a statement that persons taking medication should only consume the product under medical supervision.",,,
Fermented soybean extract,"Food Supplements as defined in Directive 2002/46/EC (capsules, tablets or powder form) intended for the adult population, excluding pregnant and lactating women",100 mg/day,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Fermented soybean extract’.
2.
The labelling of food supplements containing fermented soybean extract shall bear a statement that persons taking medication should only consume the product under medical supervision.",,,
Spermidine-rich wheat germ extract (Triticum aestivum),Specified food category,Maximum levels,The designation of the novel food on the labelling of the food supplements containing it shall be ‘spermidine-rich wheat germ extract’,,,
Spermidine-rich wheat germ extract (Triticum aestivum),"Food Supplements as defined in Directive 2002/46/EC intended for the adult population, excluding pregnant and lactating women",Equivalent of max. 6 mg/day spermidine,The designation of the novel food on the labelling of the food supplements containing it shall be ‘spermidine-rich wheat germ extract’,,,
Sucromalt,Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Sucromalt’.
2.
The designation of the novel food on the labelling shall be accompanied by indication that the product is a source of glucose and fructose.",,,
Sucromalt,Not specified,Not specified,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Sucromalt’.
2.
The designation of the novel food on the labelling shall be accompanied by indication that the product is a source of glucose and fructose.",,,
Sugar cane fibre,Specified food category,Maximum levels,,,,
Sugar cane fibre,Bread,8 %,,,,
Sugar cane fibre,Bakery goods,5 %,,,,
Sugar cane fibre,Meat and muscle products,3 %,,,,
Sugar cane fibre,Seasonings and spices,3 %,,,,
Sugar cane fibre,Grated cheeses,2 %,,,,
Sugar cane fibre,Special diet foods,5 %,,,,
Sugar cane fibre,Sauces,2 %,,,,
Sugar cane fibre,Beverages,5 %,,,,
Sunflower oil extract,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Sunflower oil extract’,,,
Sunflower oil extract,Food Supplements as defined in Directive 2002/46/EC,"1,1 g/day",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Sunflower oil extract’,,,
Dried Tetraselmis chuii microalgae,Specified food category,Maximum levels,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Dried microalgae Tetraselmis chuii’ or ‘Dried microalgae T. chuii’
Food supplements containing dried microalgae Tetraselmis chuii shall bear the following statement: ‘Contains negligible amounts of iodine’",,,
Dried Tetraselmis chuii microalgae,Sauces,20 % or 250mg/day,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Dried microalgae Tetraselmis chuii’ or ‘Dried microalgae T. chuii’
Food supplements containing dried microalgae Tetraselmis chuii shall bear the following statement: ‘Contains negligible amounts of iodine’",,,
Dried Tetraselmis chuii microalgae,Special salts,1 %,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Dried microalgae Tetraselmis chuii’ or ‘Dried microalgae T. chuii’
Food supplements containing dried microalgae Tetraselmis chuii shall bear the following statement: ‘Contains negligible amounts of iodine’",,,
Dried Tetraselmis chuii microalgae,Condiment,250 mg/day,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Dried microalgae Tetraselmis chuii’ or ‘Dried microalgae T. chuii’
Food supplements containing dried microalgae Tetraselmis chuii shall bear the following statement: ‘Contains negligible amounts of iodine’",,,
Dried Tetraselmis chuii microalgae,Food Supplements as defined in Directive 2002/46/EC,250 mg/day,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Dried microalgae Tetraselmis chuii’ or ‘Dried microalgae T. chuii’
Food supplements containing dried microalgae Tetraselmis chuii shall bear the following statement: ‘Contains negligible amounts of iodine’",,,
Therapon barcoo/Scortum,"Intended use identical to that of the salmon, namely the preparation of culinary fish products and dishes, including cooked, raw, smoked and baked fish products","Intended use identical to that of the salmon, namely the preparation of culinary fish products and dishes, including cooked, raw, smoked and baked fish products",,,,
D-Tagatose,Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘D-Tagatose’.
2.
The labelling of any product where the level of D-Tagatose exceeds 15 g per serving and all beverages containing greater than 1 % D-Tagatose (as consumed) shall bear a statement ‘excessive consumption may produce laxative effects’.",,,
D-Tagatose,Not specified,Not specified,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘D-Tagatose’.
2.
The labelling of any product where the level of D-Tagatose exceeds 15 g per serving and all beverages containing greater than 1 % D-Tagatose (as consumed) shall bear a statement ‘excessive consumption may produce laxative effects’.",,,
Taxifolin-rich extract,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘taxifolin-rich extract’.,,,
Taxifolin-rich extract,"Food Supplements as defined in Directive 2002/46/EC intended for the general population, excluding infants, young children, children and adolescents younger than 14 years",100 mg/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘taxifolin-rich extract’.,,,
Trehalose,Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Trehalose’ and shall be displayed on the labelling of the product as such or in the list of ingredients of foodstuffs containing it.
2.
The designation of the novel food on the labelling shall be accompanied by indication that the ‘Trehalose is a source of glucose’.",,,
Trehalose,Not specified,Not specified,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Trehalose’ and shall be displayed on the labelling of the product as such or in the list of ingredients of foodstuffs containing it.
2.
The designation of the novel food on the labelling shall be accompanied by indication that the ‘Trehalose is a source of glucose’.",,,
UV-treated mushrooms (Agaricus bisporus),Specified food category,Maximum levels of vitamin D2,,,,
UV-treated mushrooms (Agaricus bisporus),Mushrooms (Agaricus bisporus),10 μg of vitamin D2/100 g fresh weight,"1.
The designation on the label of the novel food as such or of the foodstuffs containing it shall be ‘UV-treated mushrooms (Agaricus bisporus)’.
2.
The designation on the label of the novel food as such or of the foodstuffs containing it shall be accompanied by indication that a ‘controlled light treatment was used to increase vitamin D levels’ or ‘UV treatment was used to increase vitamin D2 levels’.",,,
UV-treated baker’s yeast (Saccharomyces cerevisiae),Specified food category,Maximum levels of vitamin D2,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Vitamin D yeast’ or ‘Vitamin D2 yeast’,,,
