FCM substance No,Ref. No,CAS No,Substance name,"Use as additive or polymer production aid
                     (yes/no)","Use as monomer or other starting substance or macromolecule obtained from microbial fermentation
                     (yes/no)","FRF applicable
                     (yes/no)","SML
                     [mg/kg]","SML(T)
                     [mg/kg]
                     (Group restriction No)",Restrictions and specifications,Notes on verification of compliance
517,81520,0007758-02-3,potassium bromide,yes,no,no,,,,
518,35845,0007771-44-0,arachidonic acid,yes,no,no,,,,
519,87120,0007772-98-7,sodium thiosulphate,yes,no,no,,'(19),,
520,65120,0007773-01-5,manganese chloride,yes,no,no,,,,
521,58320,0007782-42-5,graphite,yes,no,no,,,,
522,14530,0007782-50-5,chlorine,no,yes,no,,,,
523,45195,0007787-70-4,copper bromide,yes,no,no,,,,
524,24520,0008001-22-7,soybean oil,no,yes,no,,,,
525,62640,0008001-39-6,japan wax,yes,no,no,,,,
526,43440,0008001-75-0,ceresin,yes,no,no,,,,
527,14411,0008001-79-4,castor oil,yes,yes,no,,,,
527,42880,0008001-79-4,castor oil,yes,yes,no,,,,
528,63760,0008002-43-5,lecithin,yes,no,no,,,,
529,67850,0008002-53-7,montan wax,yes,no,no,,,,
530,41760,0008006-44-8,candelilla wax,yes,no,no,,,,
531,36880,0008012-89-3,beeswax,yes,no,no,,,,
532,88640,0008013-07-8,"soybean oil, epoxidised",yes,no,no,60 30(*),'(32),"(*) In the case of PVC gaskets used to seal glass jars containing infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC, the SML is lowered to 30 mg/kg. Oxirane < 8 %, iodine number < 6.",
533,42720,0008015-86-9,carnauba wax,yes,no,no,,,,
534,80720,0008017-16-1,polyphosphoric acids,yes,no,no,,,,
535,24100,0008050-09-7,rosin,yes,yes,no,,,,
535,24130,0008050-09-7,rosin,yes,yes,no,,,,
535,24190,0008050-09-7,rosin,yes,yes,no,,,,
535,83840,0008050-09-7,rosin,yes,yes,no,,,,
536,84320,0008050-15-5,"rosin, hydrogenated, ester with methanol",yes,no,no,,,,
537,84080,0008050-26-8,"rosin, ester with pentaerythritol",yes,no,no,,,,
538,84000,0008050-31-5,"rosin, ester with glycerol",yes,no,no,,,,
539,24160,0008052-10-6,rosin tall oil,no,yes,no,,,,
540,63940,0008062-15-5,lignosulphonic acid,yes,no,no,"0,24",,Only to be used as dispersant for plastics dispersions,
541,58480,0009000-01-5,gum arabic,yes,no,no,,,,
542,42640,0009000-11-7,carboxymethylcellulose,yes,no,no,,,,
543,45920,0009000-16-2,dammar,yes,no,no,,,,
544,58400,0009000-30-0,guar gum,yes,no,no,,,,
545,93680,0009000-65-1,tragacanth gum,yes,no,no,,,,
546,71440,0009000-69-5,pectin,yes,no,no,,,,
547,55440,0009000-70-8,gelatin,yes,no,no,,,,
548,42800,0009000-71-9,casein,yes,no,no,,,,
549,80000,0009002-88-4,polyethylene wax,yes,no,no,,,,
550,81060,0009003-07-0,polypropylene wax,yes,no,no,,,,
551,79920,0009003-11-6 0106392-12-5,poly(ethylene propylene) glycol,yes,no,no,,,,
552,81500,0009003-39-8,polyvinylpyrrolidone,yes,no,no,,,The substance shall meet the purity criteria as laid down in Commission Directive 2008/84/EC (3),
553,14500,0009004-34-6,cellulose,yes,yes,no,,,,
553,43280,0009004-34-6,cellulose,yes,yes,no,,,,
554,43300,0009004-36-8,cellulose acetate butyrate,yes,no,no,,,,
555,53280,0009004-57-3,ethylcellulose,yes,no,no,,,,
556,54260,0009004-58-4,ethylhydroxyethylcellulose,yes,no,no,,,,
557,66640,0009004-59-5,methylethylcellulose,yes,no,no,,,,
558,60560,0009004-62-0,hydroxyethylcellulose,yes,no,no,,,,
559,61680,0009004-64-2,hydroxypropylcellulose,yes,no,no,,,,
560,66700,0009004-65-3,methylhydroxypropylcellulose,yes,no,no,,,,
561,66240,0009004-67-5,methylcellulose,yes,no,no,,,,
562,22450,0009004-70-0,nitrocellulose,no,yes,no,,,,
563,78320,0009004-97-1,polyethyleneglycol monoricinoleate,yes,no,yes,42,,,
564,24540,0009005-25-8,"starch, edible",yes,yes,no,,,,
564,88800,0009005-25-8,"starch, edible",yes,yes,no,,,,
565,61120,0009005-27-0,hydroxyethyl starch,yes,no,no,,,,
566,33350,0009005-32-7,alginic acid,yes,no,no,,,,
567,82080,0009005-37-2,"1,2-propyleneglycol alginate",yes,no,no,,,,
568,79040,0009005-64-5,polyethyleneglycol sorbitan monolaurate,yes,no,no,,,,
569,79120,0009005-65-6,polyethyleneglycol sorbitan monooleate,yes,no,no,,,,
570,79200,0009005-66-7,polyethyleneglycol sorbitan monopalmitate,yes,no,no,,,,
571,79280,0009005-67-8,polyethyleneglycol sorbitan monostearate,yes,no,no,,,,
572,79360,0009005-70-3,polyethyleneglycol sorbitan trioleate,yes,no,no,,,,
573,79440,0009005-71-4,polyethyleneglycol sorbitan tristearate,yes,no,no,,,,
574,24250,0009006-04-6,"rubber, natural",yes,yes,no,,,,
574,84560,0009006-04-6,"rubber, natural",yes,yes,no,,,,
575,76721,0063148-62-9,polydimethylsiloxane (Mw > 6 800 Da),yes,no,no,,,Viscosity at 25 °C not less than 100 cSt (100 × 10-6 m2/s),
576,60880,0009032-42-2,hydroxyethylmethylcellulose,yes,no,no,,,,
577,62280,0009044-17-1,isobutylene-butene copolymer,yes,no,no,,,,
578,79600,0009046-01-9,polyethyleneglycol tridecyl ether phosphate,yes,no,no,5,,For materials and articles intended for contact with aqueous foods only. Polyethyleneglycol (EO ≤ 11) tridecyl ether phosphate (mono-and dialkyl ester) with a maximum 10 % content of polyethyleneglycol (EO ≤ 11) tridecylether.,
579,61800,0009049-76-7,hydroxypropyl starch,yes,no,no,,,,
580,46070,0010016-20-3,α-dextrin,yes,no,no,,,,
581,36800,0010022-31-8,barium nitrate,yes,no,no,,,,
582,50240,0010039-33-5,di-n-octyltin bis(2-ethylhexyl maleate),yes,no,no,,'(10),,
583,40400,0010043-11-5,boron nitride,yes,no,no,,'(16),,
584,13620,0010043-35-3,boric acid,yes,yes,no,,'(16),,
584,40320,0010043-35-3,boric acid,yes,yes,no,,'(16),,
585,41120,0010043-52-4,calcium chloride,yes,no,no,,,,
586,65280,0010043-84-2,manganese hypophosphite,yes,no,no,,,,
587,68400,0010094-45-8,octadecylerucamide,yes,no,yes,5,,,
588,64320,0010377-51-2,lithium iodide,yes,no,no,,'(6),,
589,52645,0010436-08-5,cis-11-eicosenamide,yes,no,no,,,,
590,21370,0010595-80-9,"methacrylic acid, 2-sulphoethyl ester",no,yes,no,ND,,,'(1)
591,36160,0010605-09-1,ascorbyl stearate,yes,no,no,,,,
592,34690,0011097-59-9,aluminium magnesium carbonate hydroxide,yes,no,no,,,,
593,44960,0011104-61-3,cobalt oxide,yes,no,no,,,,
594,65360,0011129-60-5,manganese oxide,yes,no,no,,,,
595,19510,0011132-73-3,lignocellulose,no,yes,no,,,,
596,95935,0011138-66-2,xanthan gum,yes,no,no,,,,
597,67120,0012001-26-2,mica,yes,no,no,,,,
598,41600,0012004-14-7 0037293-22-4,calcium sulphoaluminate,yes,no,no,,,,
599,36840,0012007-55-5,barium tetraborate,yes,no,no,,'(16),,
600,60030,0012072-90-1,hydromagnesite,yes,no,no,,,,
601,35440,0012124-97-9,ammonium bromide,yes,no,no,,,,
602,70240,0012198-93-5,ozokerite,yes,no,no,,,,
603,83460,0012269-78-2,pyrophyllite,yes,no,no,,,,
604,60080,0012304-65-3,hydrotalcite,yes,no,no,,,,
605,11005,0012542-30-2,"acrylic acid, dicyclopentenyl ester",no,yes,no,"0,05",,,'(1)
606,65200,0012626-88-9,manganese hydroxide,yes,no,no,,,,
607,62245,0012751-22-3,iron phosphide,yes,no,no,,,Only to be used in PET polymers and copolymers,
608,40800,0013003-12-8,"4,4′-butylidene-bis(6-tert-butyl-3-methylphenyl-ditridecyl phosphite)",yes,no,yes,6,,,
609,83455,0013445-56-2,pyrophosphorous acid,yes,no,no,,,,
610,93440,0013463-67-7,titanium dioxide,yes,no,no,,,,
611,35120,0013560-49-1,"3-aminocrotonic acid, diester with thiobis (2-hydroxyethyl) ether",yes,no,no,,,,
612,16694,0013811-50-2,"N,N′-divinyl-2-imidazolidinone",no,yes,no,"0,05",,,'(10)
613,95905,0013983-17-0,wollastonite,yes,no,no,,,,
614,45560,0014464-46-1,cristobalite,yes,no,no,,,,
615,92080,0014807-96-6,talc,yes,no,no,,,,
616,83470,0014808-60-7,quartz,yes,no,no,,,,
617,10660,0015214-89-8,2-acrylamido-2-methylpropanesulphonic acid,no,yes,no,"0,05",,,
618,51040,0015535-79-2,di-n-octyltin mercaptoacetate,yes,no,no,,'(10),,
619,50320,0015571-58-1,di-n-octyltin bis(2-ethylhexyl mercaptoacetate),yes,no,no,,'(10),,
620,50720,0015571-60-5,di-n-octyltin dimaleate,yes,no,no,,'(10),,
621,17110,0016219-75-3,"5-ethylidenebicyclo[2,2,1]hept-2-ene",no,yes,no,"0,05",,,'(9)
622,69840,0016260-09-6,oleylpalmitamide,yes,no,yes,5,,,
623,52640,0016389-88-1,dolomite,yes,no,no,,,,
624,18897,0016712-64-4,6-hydroxy-2-naphthalenecarboxylic acid,no,yes,no,"0,05",,,
625,36720,0017194-00-2,barium hydroxide,yes,no,no,,,,
626,57800,0018641-57-1,glycerol tribehenate,yes,no,no,,,,
627,59760,0019569-21-2,huntite,yes,no,no,,,,
628,96190,0020427-58-1,zinc hydroxide,yes,no,no,,,,
629,34560,0021645-51-2,aluminium hydroxide,yes,no,no,,,,
630,82240,0022788-19-8,"1,2-propyleneglycol dilaurate",yes,no,no,,,,
631,59120,0023128-74-7,"1,6-hexamethylene-bis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionamide)",yes,no,yes,45,,,
632,52880,0023676-09-7,"4-ethoxybenzoic acid, ethyl ester",yes,no,no,"3,6",,,
633,53200,0023949-66-8,2-ethoxy-2′-ethyloxanilide,yes,no,yes,30,,,
634,25910,0024800-44-0,tripropyleneglycol,no,yes,no,,,,
635,40720,0025013-16-5,tert-butyl-4-hydroxyanisole,yes,no,no,30,,,
636,31500,0025134-51-4,"acrylic acid, acrylic acid, 2-ethylhexyl ester, copolymer",yes,no,no,"0,05",'(22),"SML expressed as acrylic acid, 2-ethylhexyl ester",
637,71635,0025151-96-6,pentaerythritol dioleate,yes,no,no,"0,05",,Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down,
638,23590,0025322-68-3,polyethyleneglycol,yes,yes,no,,,,
638,76960,0025322-68-3,polyethyleneglycol,yes,yes,no,,,,
639,23651,0025322-69-4,polypropyleneglycol,yes,yes,no,,,,
639,80800,0025322-69-4,polypropyleneglycol,yes,yes,no,,,,
640,54930,0025359-91-5,"formaldehyde-1-naphthol, copolymer",yes,no,no,"0,05",,,
641,22331,0025513-64-8,"mixture of (35-45 % w/w) 1,6-diamino-2,2,4-trimethylhexane and (55-65 % w/w)1,6-diamino-2,4,4-trimethylhexane",no,yes,no,"0,05",,,
642,64990,0025736-61-2,"maleic anhydride-styrene, copolymer, sodium salt",yes,no,no,,,"The fraction with molecular weight below 1 000 Da shall not exceed 0,05 % (w/w)",
643,87760,0026266-57-9,sorbitan monopalmitate,yes,no,no,,,,
644,88080,0026266-58-0,sorbitan trioleate,yes,no,no,,,,
645,67760,0026401-86-5,mono-n-octyltin tris(isooctyl mercaptoacetate),yes,no,no,,'(11),,
646,50480,0026401-97-8,di-n-octyltin bis(isooctyl mercaptoacetate),yes,no,no,,'(10),,
647,56720,0026402-23-3,glycerol monohexanoate,yes,no,no,,,,
648,56880,0026402-26-6,glycerol monooctanoate,yes,no,no,,,,
649,47210,0026427-07-6,dibutylthiostannoic acid polymer,yes,no,no,,,"Molecular unit = (C8H18S3Sn2)n (n = 1,5-2)",
650,49600,0026636-01-1,dimethyltin bis(isooctyl mercaptoacetate),yes,no,no,,'(9),,
651,88240,0026658-19-5,sorbitan tristearate,yes,no,no,,,,
652,38820,0026741-53-7,"bis(2,4-di-tert-butylphenyl) pentaerythritol diphosphite",yes,no,yes,"0,6",,,
653,25270,0026747-90-0,"2,4-toluene diisocyanate dimer",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
654,88600,0026836-47-5,sorbitol monostearate,yes,no,no,,,,
655,25450,0026896-48-0,tricyclodecanedimethanol,no,yes,no,"0,05",,,
656,24760,0026914-43-2,styrenesuphonic acid,no,yes,no,"0,05",,,
657,67680,0027107-89-7,mono-n-octyltin tris(2-ethylhexyl mercaptoacetate),yes,no,no,,'(11),,
658,52000,0027176-87-0,dodecylbenzenesulphonic acid,yes,no,no,30,,,
659,82800,0027194-74-7,"1,2-propyleneglycol monolaurate",yes,no,no,,,,
660,47540,0027458-90-8,di-tert-dodecyl disulphide,yes,no,yes,"0,05",,,
661,95360,0027676-62-6,"1,3,5-tris(3,5-di-tert-butyl-4-hydroxybenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",yes,no,yes,5,,,
662,25927,0027955-94-8,"1,1,1-tris(4-hydroxyphenol)ethane",no,yes,no,"0,005",,Only to be used in polycarbonates, (1) 
663,64150,0028290-79-1,linolenic acid,yes,no,no,,,,
664,95000,0028931-67-1,trimethylolpropane trimethacrylate-methyl methacrylate copolymer,yes,no,no,,,,
665,83120,0029013-28-3,"1,2-propyleneglycol monopalmitate",yes,no,no,,,,
666,87280,0029116-98-1,sorbitan dioleate,yes,no,no,,,,
667,55190,0029204-02-2,gadoleic acid,yes,no,no,,,,
668,80240,0029894-35-7,polyglycerol ricinoleate,yes,no,no,,,,
669,56610,0030233-64-8,glycerol monobehenate,yes,no,no,,,,
670,56800,0030899-62-8,glycerol monolaurate diacetate,yes,no,no,,'(32),,
671,74240,0031570-04-4,"phosphorous acid, tris(2,4-di-tert-butylphenyl)ester",yes,no,no,,,,
672,76845,0031831-53-5,"polyester of 1,4-butanediol with caprolactone",yes,no,no,,(29) (30),"The fraction with molecular weight below 1 000 Da shall not exceed 0,5 % (w/w)",
673,53670,0032509-66-3,"ethylene glycol bis[3,3-bis(3-tert-butyl-4-hydroxyphenyl)butyrate]",yes,no,yes,6,,,
674,46480,0032647-67-9,dibenzylidene sorbitol,yes,no,no,,,,
675,38800,0032687-78-8,"N,N′-bis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionyl)hydrazide",yes,no,yes,15,,,
676,50400,0033568-99-9,di-n-octyltin bis(isooctyl maleate),yes,no,no,,'(10),,
677,82560,0033587-20-1,"1,2-propyleneglycol dipalmitate",yes,no,no,,,,
678,59200,0035074-77-2,"1,6-hexamethylene-bis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate)",yes,no,yes,6,,,
679,39060,0035958-30-6,"1,1-bis(2-hydroxy-3,5-di-tert-butylphenyl)ethane",yes,no,yes,5,,,
680,94400,0036443-68-2,triethyleneglycol bis[3-(3-tert-butyl-4-hydroxy-5-methylphenyl) propionate],yes,no,no,9,,,
681,18310,0036653-82-4,1-hexadecanol,no,yes,no,,,,
682,53270,0037205-99-5,ethylcarboxymethylcellulose,yes,no,no,,,,
683,66200,0037206-01-2,methylcarboxymethylcellulose,yes,no,no,,,,
684,68125,0037244-96-5,nepheline syenite,yes,no,no,,,,
685,85950,0037296-97-2,"silicic acid, magnesium-sodium-fluoride salt",yes,no,no,"0,15",,SML expressed as fluoride. Only to be used in layers of multi-layer materials not coming into direct contact with food.,
686,61390,0037353-59-6,hydroxymethylcellulose,yes,no,no,,,,
687,13530,0038103-06-9,"2,2-bis(4-hydroxyphenyl)propane bis(phthalic anhydride)",no,yes,no,"0,05",,,
687,13614,0038103-06-9,"2,2-bis(4-hydroxyphenyl)propane bis(phthalic anhydride)",no,yes,no,"0,05",,,
688,92560,0038613-77-3,"tetrakis(2,4-di-tert-butyl-phenyl)-4,4′-biphenylylene diphosphonite",yes,no,yes,18,,,
689,95280,0040601-76-1,"1,3,5-tris(4-tert-butyl-3-hydroxy-2,6-dimethylbenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",yes,no,yes,6,,,
690,92880,0041484-35-9,"thiodiethanol bis(3-(3,5-di-tert-butyl-4-hydroxy phenyl) propionate)",yes,no,yes,"2,4",,,
691,13600,0047465-97-4,"3,3-bis(3-methyl-4-hydroxyphenyl)2-indolinone",no,yes,no,"1,8",,,
692,52320,0052047-59-3,2-(4-dodecylphenyl)indole,yes,no,yes,"0,06",,,
693,88160,0054140-20-4,sorbitan tripalmitate,yes,no,no,,,,
694,21400,0054276-35-6,"methacrylic acid, sulphopropyl ester",no,yes,no,"0,05",,,'(1)
695,67520,0054849-38-6,monomethyltin tris(isooctyl mercaptoacetate),yes,no,no,,'(9),,
696,92205,0057569-40-1,"terephthalic acid, diester with 2,2′-methylenebis(4-methyl-6-tert-butylphenol)",yes,no,no,,,,
697,67515,0057583-34-3,monomethyltin tris(ethylhexyl mercaptoacetate),yes,no,no,,'(9),,
698,49595,0057583-35-4,dimethyltin bis(ethylhexyl mercaptoacetate),yes,no,no,,'(9),,
699,90720,0058446-52-9,stearoylbenzoylmethane,yes,no,no,,,,
700,31520,0061167-58-6,"acrylic acid, 2-tert-butyl-6-(3-tert-butyl-2-hydroxy-5-methylbenzyl)-4-methylphenyl ester",yes,no,yes,6,,,
701,40160,0061269-61-2,"N,N′-bis(2,2,6,6-tetramethyl-4-piperidyl)hexamethylenediamine-1,2-dibromoethane, copolymer",yes,no,no,"2,4",,,
702,87920,0061752-68-9,sorbitan tetrastearate,yes,no,no,,,,
703,17170,0061788-47-4,"fatty acids, coco",no,yes,no,,,,
704,77600,0061788-85-0,polyethyleneglycol ester of hydrogenated castor oil,yes,no,no,,,,
705,10599/90A,0061788-89-4,"acids, fatty, unsaturated (C18), dimers, non hydrogenated, distilled and non-distilled",no,yes,no,,'(18),,'(1)
705,10599/91,0061788-89-4,"acids, fatty, unsaturated (C18), dimers, non hydrogenated, distilled and non-distilled",no,yes,no,,'(18),,'(1)
706,17230,0061790-12-3,"fatty acids, tall oil",no,yes,no,,,,
707,46375,0061790-53-2,diatomaceous earth,yes,no,no,,,,
708,77520,0061791-12-6,polyethyleneglycol ester of castor oil,yes,no,no,42,,,
709,87520,0062568-11-0,sorbitan monobehenate,yes,no,no,,,,
710,38700,0063397-60-4,bis(2-carbobutoxyethyl)tin-bis(isooctyl mercaptoacetate),yes,no,yes,18,,,
711,42000,0063438-80-2,(2-carbobutoxyethyl)tin-tris(isooctyl mercaptoacetate),yes,no,yes,30,,,
712,42960,0064147-40-6,"castor oil, dehydrated",yes,no,no,,,,
713,43480,0064365-11-3,"charcoal, activated",yes,no,no,,,Only for use in PET at maximum 10 mg/kg of polymer. Same purity requirements as for Vegetable Carbon (E 153) set out by Commission Regulation (EU) No 231/2012 (4) with exception of ash content which can be up to 10 % (w/w).,
713,43480,0007440-44-0,"charcoal, activated",yes,no,no,,,Only for use in PET at maximum 10 mg/kg of polymer. Same purity requirements as for Vegetable Carbon (E 153) set out by Commission Regulation (EU) No 231/2012 (4) with exception of ash content which can be up to 10 % (w/w).,
714,84400,0064365-17-9,"rosin, hydrogenated, ester with pentaerythritol",yes,no,no,,,,
715,46880,0065140-91-2,"3,5-di-tert-butyl-4-hydroxybenzylphosphonic acid, monoethyl ester, calcium salt",yes,no,no,6,,,
716,60800,0065447-77-0,"1-(2-hydroxyethyl)-4-hydroxy-2,2,6,6-tetramethyl piperidine-succinic acid, dimethyl ester, copolymer",yes,no,no,30,,,
717,84210,0065997-06-0,"rosin, hydrogenated",yes,no,no,,,,
718,84240,0065997-13-9,"rosin, hydrogenated, ester with glycerol",yes,no,no,,,,
719,65920,0066822-60-4,"N-methacryloyloxyethyl-N,N-dimethyl-N-carboxymethylammonium chloride, sodium salt -octadecyl methacrylate-ethyl methacrylate-cyclohexyl methacrylate-N-vinyl-2-pyrrolidone, copolymers",yes,no,no,,,,
720,67360,0067649-65-4,mono-n-dodecyltin tris(isooctyl mercaptoacetate),yes,no,no,,'(25),,
721,46800,0067845-93-6,"3,5-di-tert-butyl-4-hydroxybenzoic acid, hexadecyl ester",yes,no,no,,,,
722,17200,0068308-53-2,"fatty acids, soya",no,yes,no,,,,
723,88880,0068412-29-3,"starch, hydrolysed",yes,no,no,,,,
724,24903,0068425-17-2,"syrups, hydrolysed starch, hydrogenated",no,yes,no,,,In compliance with the purity criteria for maltitol syrup E 965(ii) as laid down in Commission Directive 2008/60/EC (5),
726,83599,0068442-12-6,"reaction products of oleic acid, 2-mercaptoethyl ester, with dichlorodimethyltin, sodium sulphide and trichloromethyltin",yes,no,yes,,'(9),,
727,43360,0068442-85-3,"cellulose, regenerated",yes,no,no,,,,
728,75100,0068515-48-0 0028553-12-0,"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9",yes,no,no,,(26) (32),"Only to be used as: (a) plasticiser in repeated use materials and articles; (b) plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC; (c) technical support agent in concentrations up to 0,1 % in the final product.",'(7)
729,75105,0068515-49-1 0026761-40-0,"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10",yes,no,no,,(26) (32),"Only to be used as: (a) plasticiser in repeated use materials and articles; (b) plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC; (c) technical support agent in concentrations up to 0,1 % in the final product.",'(7)
730,66930,0068554-70-1,methylsilsesquioxane,yes,no,no,,,Residual monomer in methylsilsesquioxane: < 1 mg methyltrimethoxysilane/kg of methylsilsesquioxane,
731,18220,0068564-88-5,N-heptylaminoundecanoic acid,no,yes,no,"0,05",,,'(2)
732,45450,0068610-51-5,"p-cresol-dicyclopentadiene-isobutylene, copolymer",yes,no,yes,5,,,
733,10599/92A,0068783-41-5,"acids, fatty, unsaturated (C18), dimers, hydrogenated, distilled and non-distilled",no,yes,no,,'(18),,'(1)
733,10599/93,0068783-41-5,"acids, fatty, unsaturated (C18), dimers, hydrogenated, distilled and non-distilled",no,yes,no,,'(18),,'(1)
734,46380,0068855-54-9,"diatomaceous earth, soda ash flux-calcined",yes,no,no,,,,
735,40120,0068951-50-8,bis(polyethyleneglycol)hydroxymethylphosphonate,yes,no,no,"0,6",,,
736,50960,0069226-44-4,di-n-octyltin ethyleneglycol bis(mercaptoacetate),yes,no,no,,'(10),,
737,77370,0070142-34-6,polyethyleneglycol-30 dipolyhydroxystearate,yes,no,no,,,,
738,60320,0070321-86-7,"2-[2-hydroxy-3,5-bis(1,1-dimethylbenzyl)phenyl]benzotriazole",yes,no,yes,"1,5",,,
739,70000,0070331-94-1,"2,2′-oxamidobis[ethyl-3-(3,5-di-tert-butyl-4-hydroxyphenyl)-propionate]",yes,no,no,,,,
740,81200,0071878-19-8,"poly[6-[(1,1,3,3-tetramethylbutyl)amino]-1,3,5-triazine-2,4-diyl]-[(2,2,6,6-tetramethyl-4-piperidyl)-imino]hexamethylene[(2,2,6,6-tetramethyl-4-piperidyl) imino]",yes,no,yes,3,,,
741,24070,0073138-82-6,resin acids and rosin acids,yes,yes,no,,,,
741,83610,0073138-82-6,resin acids and rosin acids,yes,yes,no,,,,
742,92700,0078301-43-6,"2,2,4,4-tetramethyl-20-(2,3-epoxypropyl)-7-oxa-3,20-diazadispiro-[5.1.11.2]-heneicosan-21-one, polymer",yes,no,yes,5,,,
743,38950,0079072-96-1,bis(4-ethylbenzylidene)sorbitol,yes,no,no,,,,
744,18888,080181-31-3,"3-hydroxybutanoic acid-3- hydroxypentanoic acid, copolymer",no,yes,no,,'(35),The substance is used as product obtained by bacterial fermentation. In compliance with the specifications mentioned in the Table 4 of Annex I.,
745,68145,0080410-33-9,"2,2′,2′-nitrilo(triethyl tris(3,3′,5,5′-tetra-tert-butyl-1,1′-bi-phenyl-2,2′-diyl)phosphite)",yes,no,yes,5,,SML expressed as sum of phosphite and phosphate,
746,38810,0080693-00-1,"bis(2,6-di-tert-butyl-4-methylphenyl)pentaerythritol diphosphite",yes,no,yes,5,,SML expressed as sum of phosphite and phosphate,
747,47600,0084030-61-5,di-n-dodecyltin bis(isooctyl mercaptoacetate),yes,no,yes,,'(25),,
748,12765,0084434-12-8,"N-(2-aminoethyl)-β-alanine, sodium salt",no,yes,no,"0,05",,,
749,66360,0085209-91-2,"2,2′-methylene bis(4,6-di-tert-butylphenyl) sodium phosphate",yes,no,yes,5,,,
750,66350,0085209-93-4,"2,2′-methylenebis(4,6-di-tert-butylphenyl) lithium phosphate",yes,no,no,5,,,
751,81515,0087189-25-1,poly(zinc glycerolate),yes,no,no,,,,
752,39890,0087826-41-3 0069158-41- 4 0054686-97-4 0081541-12-0,bis(methylbenzylidene)sorbitol,yes,no,no,,,,
753,62800,0092704-41-1,"kaolin, calcined",yes,no,no,,,,
754,56020,0099880-64-5,glycerol dibehenate,yes,no,no,,,,
755,21765,0106246-33-7,"4,4′-methylenebis(3-chloro-2,6-diethylaniline)",no,yes,no,"0,05",,,'(1)
756,40020,0110553-27-0,"2,4-bis(octylthiomethyl)-6-methylphenol",yes,no,yes,,'(24),,
757,95725,0110638-71-6,"vermiculite, reaction product with citric acid, lithium salt",yes,no,no,,,,
758,38940,0110675-26-8,"2,4-bis(dodecylthiomethyl)-6-methylphenol",yes,no,yes,,'(24),,
759,54300,0118337-09-0,"2,2′-ethylidenebis(4,6-di-tert-butylphenyl) fluorophosphonite",yes,no,yes,6,,,
760,83595,0119345-01-6,"reaction product of di-tert-butylphosphonite with biphenyl, obtained by condensation of 2,4-di-tert-butylphenol with Friedel Craft reaction product of phosphorous trichloride and biphenyl",yes,no,no,18,,"Composition: - 4,4′-biphenylene-bis[0,0-bis(2,4-di-tert-butylphenyl)phosphonite] (CAS No 0038613-77-3) (36-46 % w/w (*)), - 4,3′-biphenylene-bis[0,0-bis(2,4-di-tert-butylphenyl)phosphonite] (CAS No 0118421-00-4) (17-23 % w/w (*)), - 3,3′-biphenylene-bis[0,0-bis(2,4-di-tert-butylphenyl)phosphonite] (CAS No 0118421-01-5) (1-5 % w/w (*)), - 4-biphenylene-0,0-bis(2,4-di-tert-butylphenyl)phosphonite (CAS No 0091362-37-7) (11-19 % w/w (*)), - tris(2,4-di-tert-butylphenyl)phosphite (CAS No 0031570-04-4) (9-18 % w/w (*)), - 4,4′-biphenylene-0,0-bis(2,4-di-tert-butylphenyl)phosphonate-0,0-bis(2,4-di-tert-butylphenyl)phosphonite (CAS No 0112949-97-0) (< 5 % w/w (*)) (*) Quantity of substance used/quantity of formulation Other specifications: - Phosphor content of min. 5,4 % to max. 5,9 %, - Acid value of max. 10 mg KOH per gram, - Melt range of 85- 110 °C,",
761,92930,0120218-34-0,"thiodiethanolbis(5-methoxycarbonyl-2,6-dimethyl-1,4-dihydropyridine-3-carboxylate)",yes,no,no,6,,,
762,31530,0123968-25-2,"acrylic acid, 2,4-di-tert-pentyl-6-(1-(3,5-di-tert-pentyl-2-hydroxyphenyl)ethyl)phenyl ester",yes,no,yes,5,,,
763,39925,0129228-21-3,"3,3-bis(methoxymethyl)-2,5-dimethylhexane",yes,no,yes,"0,05",,,
764,13317,0132459-54-2,"N,N′-bis[4-(ethoxycarbonyl)phenyl]-1,4,5,8-naphthalenetetracarboxydiimide",no,yes,no,"0,05",,"Purity > 98,1 % (w/w). Only to be used as co-monomer (max 4 %) for polyesters (PET, PBT).",
765,49485,0134701-20-5,"2,4-dimethyl-6-(1-methylpentadecyl)phenol",yes,no,yes,1,,,
766,38879,0135861-56-2,"bis(3,4-dimethylbenzylidene)sorbitol",yes,no,no,,,,
